"id","idLegislacao","nome","nomeArquivo","created_at","updated_at","descricao","remoto"
"65","70","LEI COMPLEMENTAR Nº 005 DE 15 DE DEZEMBRO DE 2021","LEI-COMPLEMENTAR-No-005-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:29:17","17/12/2021 16:29:38","DISPÕE SOBRE A CONVALIDAÇÃO DOS ATOS PRATICADOS NA CONCORRÊNCIA PÚBLICA Nº 003/2020 – PROCESSO 0028165, BASEADOS NA LEI Nº 1.913, DE 15 DE ABRIL DE 2020 E DÁ OUTRAS PROVIDÊNCIAS.","0"
"66","71","LEI COMPLEMENTAR Nº 006 DE 15 DE DEZEMBRO DE 2021","LEI-COMPLEMENTAR-No-006-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:30:19","17/12/2021 16:31:48","","0"
"67","72","LEI COMPLEMENTAR Nº 007 DE 15 DE DEZEMBRO DE 2021","LEI-COMPLEMENTAR-No-007-DE-15-DE-DEZEMBRO-DE-2021.pdf","17/12/2021 16:32:27","17/12/2021 16:32:49","","0"
"68","73",,"DECRETO-No-6293-CRONOGRAMA-VENC-IPTU.pdf","27/12/2021 21:29:54","27/12/2021 21:29:54",,"0"
"69","74",,"DECRETO-No-6294-COMISSAO-DE-AVALIACAO-DE-IMOVEIS.pdf","27/12/2021 21:31:32","27/12/2021 21:31:32",,"0"
"70","75",,"DECRETO-No-6295-ALTERA-CALENDARIO-OFICIAL.pdf","27/12/2021 21:32:58","27/12/2021 21:32:58",,"0"
"71","76",,"DECRETO-No-6099-CESSAO-IMOVEL-PM.pdf","27/12/2021 21:34:14","27/12/2021 21:34:14",,"0"
"73","77","LEI Nº 1.987 DE 19 DE JANEIRO DE 2022","LEI-1987-DE-19-DE-JANEIRO-DE-2022.pdf","7/2/2022 13:55:41","7/2/2022 13:55:59","","0"
"74","80",,"DECRETO-No-6346-COVID.pdf","7/2/2022 14:59:48","7/2/2022 14:59:48",,"0"
"75","81","DECRETO Nº 6.308 - CALENDÁRIO OFICIAL","DECRETO-6308-CALENDARIO.pdf","10/2/2022 15:54:09","10/2/2022 15:54:30","CALENDÁRIO OFICIAL DE FERIADOS E PONTOS FACULTATIVOS PARA O EXERCÍCIO DE 2022 NO MUNICÍPIO DE FRONTEIRA","0"
"76","83","LEI Nº 1.989 DE 09 DE FEVEREIRO DE 2022","LEI-No-1989-DE-09-DE-FEVEREIRO-DE-2022.pdf","11/2/2022 15:12:23","11/2/2022 15:12:40","","0"
"77","84","LEI Nº 1.990 DE 09 DE FEVEREIRO DE 2022.","LEI-No-1990-DE-09-DE-FEVEREIRO-DE-2022.pdf","11/2/2022 15:13:23","11/2/2022 15:13:37","CONCEDE SUBVENÇÃO SOCIAL AO ABRIGO GABRIEL LUIZ RIBEIRO E DÁ OUTRAS PROVIDÊNCIAS.","0"
"78","85","LEI Nº 1.991 DE 09 DE FEVEREIRO DE 2022.","LEI-No-1991-DE-09-DE-FEVEREIRO-DE-2022.pdf","11/2/2022 15:14:06","11/2/2022 15:14:15","CONCEDE SUBVENÇÃO SOCIAL A APAE (ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS) E DÁ OUTRAS PROVIDÊNCIAS.","0"
"79","86","LEI Nº 1.992 DE 09 DE FEVEREIRO DE 2022.","LEI-No-1992-DE-09-DE-FEVEREIRO-DE-2022.pdf","11/2/2022 15:14:46","11/2/2022 15:14:57","CONCEDE SUBVENÇÃO SOCIAL À ASSISTÊNCIA SOCIAL – ASILO PIO XII E DÁ OUTRAS PROVIDÊNCIAS.","0"
"80","87","LEI Nº 1.993 DE 09 DE FEVEREIRO DE 2022.","LEI-No-1993-DE-09-DE-FEVEREIRO-DE-2022.pdf","11/2/2022 15:15:28","11/2/2022 15:16:20","CONCEDE SUBVENÇÃO SOCIAL AO CENTRO DE RECUPERAÇÃO DO ALCOÓLATRA (CEREA) E DÁ OUTRAS PROVIDÊNCIAS.","0"
"81","88","LEI Nº 1.994 DE 09 DE FEVEREIRO DE 2022.","LEI-No-1994-DE-09-DE-FEVEREIRO-DE-2022.pdf","11/2/2022 15:17:14","11/2/2022 15:17:40","CONCEDE SUBVENÇÃO SOCIAL AO CONSELHO COMUNITÁRIO DE SEGURANÇA PÚBLICA E SOCIAL DE FRONTEIRA-MG (CONSEP) E DÁ OUTRAS PROVIDÊNCIAS.","0"
"82","90","DECRETO Nº 6.386 - ALTERA CALENDÁRIO OFICIAL","DECRETO-6386-ALTERA-CALENDARIO-OFICIAL.pdf","22/2/2022 16:33:05","22/2/2022 16:34:04","ALTERA O CALENDÁRIO OFICIAL DE FERIADOS E PONTOS FACULTATIVOS PARA O EXERCÍCIO DE 2022 NO MUNICÍPIO DE FRONTEIRA","0"
"83","91","DECRETO Nº 6387 DE 22 DE FEVEREIRO DE 2022","DECRETO-No-6387-DISPOE-SOBRE-A-REVOGACAO-DE-ATO-NORMATIVO-SOBRE-MEDIDAS-SANITARIAS-ACERCA-DA-PANDEMIA-DE-COVID-19.pdf","24/2/2022 15:45:38","24/2/2022 15:46:30","DISPÕE SOBRE A REVOGAÇÃO DE ATO NORMATIVO SOBRE MEDIDAS SANITÁRIAS ACERCA DA PANDEMIA DE COVID-19","0"
"84","92","LEI Nº 1.996 DE 09 DE FEVEREIRO DE 2022","LEI-No-1996-DE-09-DE-FEVEREIRO-DE-2022.pdf","14/3/2022 13:18:56","14/3/2022 13:19:31","CONCEDE SUBVENÇÃO SOCIAL AO SINDICATO RURAL DE FRONTEIRA E DÁ OUTRAS PROVIDÊNCIAS.","0"
"85","93","LEI Nº 1.997 DE 09 DE MARÇO DE 2022","LEI-No-1997-DE-09-DE-MARCO-DE-2022.pdf","14/3/2022 13:20:36","14/3/2022 13:20:51","","0"
"86","94","LEI Nº 1.998 DE 09 DE MARÇO DE 2022","LEI-No-1998-DE-09-DE-MARCO-DE-2022.pdf","14/3/2022 13:24:27","14/3/2022 13:24:49","AUTORIZA A ALIENAÇÃO DE BENS MÓVEIS E DÁ OUTRAS PROVIDÊNCIAS.","0"
"87","48",,"LEI-No-1966-DE-25-DE-AGOSTO-DE-2021_(204).pdf","29/3/2022 09:39:05","29/3/2022 09:39:05",,"0"
"88","95","DECRETO Nº 6.407 DE 28 DE MARÇO DE 2022","DECRETO-No-6407-DISPOE-SOBRE-A-REVOGACAO-DE-ATO-NORMATIVO-COVID-19.pdf","30/3/2022 13:25:36","30/3/2022 13:25:53","","0"
"90","96","DECRETO Nº 6.409 DE 30 DE MARÇO DE 2022","DECRETO-No-6409-DISPOE-SOBRE-A-UTILIZACAO-DE-MASCARA-NA-UMS-ESF-E-FARMACIAS.pdf","1/4/2022 15:17:34","1/4/2022 15:18:09","DISPÕE SOBRE A UTILIZAÇÃO DE MÁSCARAS NA UNIDADE MISTA DE SAÚDE (UMS) E UNIDADES DE ESTRATÉGIA SAÚDE DA FAMÍLIA (ESF) DURANTE A PANDEMIA DE COVID-19","0"
"91","97","LEI Nº 1.999 DE 30 DE MARÇO DE 2022","LEI-No-1999-DE-30-DE-MARCO-DE-2022.pdf","1/4/2022 15:49:51","1/4/2022 15:50:04","","0"
"92","98","LEI Nº 2000 DE 30 DE MARÇO DE 2022","LEI-No-2000-DE-30-DE-MARCO-DE-2022.pdf","1/4/2022 15:50:36","1/4/2022 15:50:56","AUTORIZA A CONCESSÃO DE REPASSES FINANCEIROS AS CAIXAS ESCOLARES DO MUNICÍPIO PARA O EXERCÍCIO DE 2022 E DA OUTRAS PROVIDÊNCIAS;","0"
"94","99","LEI Nº 2.001 DE 30 DE MARÇO DE 2022","LEI-No-2001-DE-30-DE-MARCO-DE-2022.pdf","1/4/2022 15:52:07","1/4/2022 15:52:23","","0"
"95","100","DECRETO 5.846 DE 04 DE JANEIRO DE 2021","DECRETO-No-5846-DECLARA-ESTADO-DE-CALAMIDADE-PUBLICA.pdf","18/4/2022 14:01:34","18/4/2022 14:04:05","DECLARA ESTADO DE CALAMIDADE PÚBLICA NO MUNICÍPIO DE FRONTEIRA EM DECORRÊNCIA DA PANDEMIA DE COVID-19","0"
"96","101","DECRETO 6.085 DE JULHO DE 2022","DECRETO-No-6085-AMPLIA-PERIODO-DE-CALAMIDADE-PUBLICA.pdf","18/4/2022 14:07:25","18/4/2022 14:07:52","AMPLIA O PERÍODO DE DECLARAÇÃO DE ESTADO DE CALAMIDADE PÚBLICA NO MUNICÍPIO DE FRONTEIRA EM DECORRÊNCIA DA PANDEMIA DE COVID-19.","0"
"97","102","LEI COMPLEMENTAR Nº 002 DE 19 DE ABRIL DE 2022","LEI-COMPLEMENTAR-No-002-DE-19-DE-ABRIL-DE-2022.pdf","26/4/2022 13:58:18","26/4/2022 13:58:49","AUTORIZA A RECOMPOSIÇÃO DA BASE REMUNERATÓRIA DOS AGENTES PÚBLICOS DO MUNICÍPIO DE FRONTEIRA.","0"
"98","103","LEI COMPLEMENTAR Nº 003 DE 19 DE ABRIL DE 2022","LEI-COMPLEMENTAR-No-003-DE-19-DE-ABRIL-DE-2022.pdf","26/4/2022 13:59:50","26/4/2022 14:00:36","","0"
"99","104","LEI Nº 2.003 DE 19 DE ABRIL DE 2022.","LEI-No-2003-DE-19-DE-ABRIL-DE-2022.pdf","26/4/2022 14:01:57","26/4/2022 14:02:18","INSTITUI NO MUNICÍPIO DE FRONTEIRA O PRÊMIO ALUNO ESPORTISTA DO ANO E DÁ OUTRAS PROVIDÊNCIAS.","0"
"100","105","LEI Nº 2.002 DE 19 DE MARÇO DE 2022","LEI-No-2002-DE-19-DE-MARCO-DE-2022.pdf","26/4/2022 14:03:15","26/4/2022 14:03:31","INSTITUI O PROGRAMA “MEDICAMENTO EM CASA” NO MUNICÍPIO E DÁ OUTRAS PROVIDÊNCIAS","0"
"101","106","Declara de Utilidade Pública, imóvel urbano, para fins de abertura de ruas em área urbana para acesso a imóvel Público.","Decreto-6446-de-11-04-2022-desapropriacao-Sr-Nego.pdf","18/5/2022 13:38:43","18/5/2022 13:43:12","Desapropriação","0"
"102","107","FIXA PRAZO PARA PRÁTICA DOS ATOS DOS ÓRGÃOS DESTE MUNICIPIO, E DÁ OUTRAS PROVIDÊNCIAS","Decreto-6447-Fixa-Prazo-para-pratica-dos-atos-dos-orgaos-deste-municipio.pdf","18/5/2022 14:07:04","18/5/2022 14:07:26","FIXA PRAZO","0"
"103","108","ALTERA DECRETO 6293, REFERENTE CRONOGRAMA DE VENCIMENTO IPTU EXERCÍCIO 2022 - MUNICIPIO FRONTEIRA MG.","Decreto-6448-Altera-data-vcto-IPTU.pdf","18/5/2022 14:10:16","18/5/2022 14:10:39","VCTO IPTU 2022","0"
"105","111","REVOGA LEI COMPLEMENTAR 002 DE 09 DE JUNHO DE 2021 E DÁ OUTRAS PROVIDÊNCIAS.","Lei-complementar-004-Gravidas.pdf","18/5/2022 14:24:37","18/5/2022 14:24:56","REVOGA LEI COMPLEMENTAR 002 DE 09 DE JUNHO DE 2021 E DÁ OUTRAS PROVIDÊNCIAS.","0"
